[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:192.168.206.2 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.2 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.2 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:50] Src: 192.168.206.128 -> Dst:151.101.1.229 | Protocol:17
[2025-07-26 12:11:50] Src: 151.101.1.229 -> Dst:192.168.206.128 | Protocol:17
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:54] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:55] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:55] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:11:55] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:11:55] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:00] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:01] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:01] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:11] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:11] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:21] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:21] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:23] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:23] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:23] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:23] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:23] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:23] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:23] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:24] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:24] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:24] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:24] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:28] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:28] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:28] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:29] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:29] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:29] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:29] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:29] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:29] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:31] Src: 192.168.206.128 -> Dst:103.66.206.203 | Protocol:6
[2025-07-26 12:12:31] Src: 103.66.206.203 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:33] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:33] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:33] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:33] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:33] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:33] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:33] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:34] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:34] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:34] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:34] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:34] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:34] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:36] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:36] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:36] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:36] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:38] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:38] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:39] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:39] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:40] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:40] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:40] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:40] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:40] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:40] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
[2025-07-26 12:12:40] Src: 172.64.155.209 -> Dst:192.168.206.128 | Protocol:6
[2025-07-26 12:12:40] Src: 192.168.206.128 -> Dst:172.64.155.209 | Protocol:6
